task_id,intent,sku,executable,binding_correct,has_template,confidence,bound_action,expected_action,verification_pass,false_accept,unknown
task_0005,add_to_cart,SKU-B001,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B001""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B001""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b001""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b001"", ""body"": {""sku"": ""SKU-B001"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B001""}}",1,0,0
task_0006,add_to_cart,SKU-B002,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B002""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B002""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b002""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b002"", ""body"": {""sku"": ""SKU-B002"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B002""}}",1,0,0
task_0007,add_to_cart,SKU-B003,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B003""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B003""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b003""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b003"", ""body"": {""sku"": ""SKU-B003"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B003""}}",1,0,0
task_0008,add_to_cart,SKU-B004,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B004""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B004""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b004""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b004"", ""body"": {""sku"": ""SKU-B004"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B004""}}",1,0,0
task_0009,add_to_cart,SKU-B005,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B005""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B005""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b005""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b005"", ""body"": {""sku"": ""SKU-B005"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B005""}}",1,0,0
task_0010,add_to_cart,SKU-B006,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B006""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B006""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b006""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b006"", ""body"": {""sku"": ""SKU-B006"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B006""}}",1,0,0
task_0011,add_to_cart,SKU-B007,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B007""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B007""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b007""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b007"", ""body"": {""sku"": ""SKU-B007"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B007""}}",1,0,0
task_0012,add_to_cart,SKU-B008,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B008""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B008""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b008""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b008"", ""body"": {""sku"": ""SKU-B008"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B008""}}",1,0,0
task_0013,add_to_cart,SKU-B009,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B009""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B009""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b009""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b009"", ""body"": {""sku"": ""SKU-B009"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B009""}}",1,0,0
task_0014,add_to_cart,SKU-B010,1,1,0,0.9,"{""body"": {""qty"": ""1"", ""sku"": ""SKU-B010""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B010""}, ""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b010""}","{""method"": ""POST"", ""url"": ""https://shop.example.com/product/sku-b010"", ""body"": {""sku"": ""SKU-B010"", ""qty"": ""1""}, ""headers"": {""Content-Type"": ""application/json"", ""X-Csrf-Token"": ""CSRF-SKU-B010""}}",1,0,0
