task_id,novelty_fraction,system,success,false_accept,tokens,browser_calls,latency_ms,reused_steps,unknown
task_0.00_00,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_00,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_00,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_00,0.0,B-RAG,1,0,200,1,670,1.0,0
task_0.00_00,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_01,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_01,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_01,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_01,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_01,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_02,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_02,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_02,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_02,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_02,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_03,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_03,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_03,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_03,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_03,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_04,0.0,SPIDER,1,0,250,1,770,1.0,0
task_0.00_04,0.0,B-COLD,1,0,5000,20,12400,0,0
task_0.00_04,0.0,B-INSTRUCTIONS,1,0,4700,18,11560,0,0
task_0.00_04,0.0,B-RAG,1,0,5200,21,13070,0,0
task_0.00_04,0.0,B-REPLAY-TERX,1,0,5500,22,13640,0,0
task_0.00_05,0.0,SPIDER,1,0,250,1,770,1.0,0
