task_id,novelty_fraction,system,success,false_accept,tokens,browser_calls,latency_ms,reused_steps,unknown,hit
task_0.00_00,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_00,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_00,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_00,0.0,B-RAG,1,0,250,2,770.0,1.0,0,0
task_0.00_00,0.0,B-REPLAY-TERX,1,0,50,2,220.0,1.0,0,1
task_0.00_00,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_01,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_01,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_01,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_01,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_01,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_01,0.0,B-LENGTH-PROPORTIONAL,0,0,5000,40,58000.0,0,0,0
task_0.00_02,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_02,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_02,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_02,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_02,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_02,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_03,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_03,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_03,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_03,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_03,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_03,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_04,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_04,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_04,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_04,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_04,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_04,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_05,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_05,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_05,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_05,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_05,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
task_0.00_05,0.0,B-LENGTH-PROPORTIONAL,1,0,5000,40,58000.0,0,0,0
task_0.00_06,0.0,SPIDER,1,0,250,2,770.0,1.0,0,0
task_0.00_06,0.0,B-COLD,1,0,5000,40,58000.0,0,0,0
task_0.00_06,0.0,B-INSTRUCTIONS,1,0,4700,36,48280.0,0,0,0
task_0.00_06,0.0,B-RAG,1,0,5200,41,59750.0,0,0,0
task_0.00_06,0.0,B-REPLAY-TERX,1,0,5500,44,60400.0,0,0,0
