task_id,family_id,template_id,novelty_fraction,length,system,success,false_accept,unknown,tokens,browser_calls,latency_ms,reused_steps,hit,verification_passed,repair_triggered,confidence,ece_bin
task_0000,family_00,template_00,0.5,8,P-SPIDER-PARAM,1,0,1,1805,7,3880,0,0,0,0,0.8384799999999999,4
task_0000,family_00,template_00,0.5,8,B-COLD,1,0,0,4044,17,10128,0,0,1,0,0.5,2
task_0000,family_00,template_00,0.5,8,B-INSTRUCTION,1,0,0,3756,15,9312,1,0,1,0,0.5,2
task_0000,family_00,template_00,0.5,8,B-RAG-EMBED,1,0,0,4233,17,8736,0,0,1,0,0.5,2
task_0000,family_00,template_00,0.5,8,B-STAGEHAND-CACHE,1,0,0,4038,17,9996,0,0,1,0,0.5,2
task_0000,family_00,template_00,0.5,8,B-TERX-REPLAY,1,0,0,4034,17,9988,0,0,1,0,0.5,2
task_0000,family_00,template_00,0.5,8,NC1-SHUFFLED,0,1,0,4898,11,10996,0,0,0,0,0.5,2
task_0000,family_00,template_00,0.5,8,NC2-RANDOM,1,1,0,4056,17,10032,0,0,1,0,0.45,2
task_0000,family_00,template_00,0.5,8,B-LENGTH-PROPORTIONAL,1,0,0,4044,17,10008,0,0,1,0,0.5,2
task_0001,family_00,template_00,0.25,8,P-SPIDER-PARAM,1,0,0,1014,3,2298,6,1,1,0,0.9108999999999999,4
task_0001,family_00,template_00,0.25,8,B-COLD,1,0,0,4034,17,10108,0,0,1,0,0.5,2
task_0001,family_00,template_00,0.25,8,B-INSTRUCTION,1,0,0,3769,15,9338,1,0,1,0,0.5,2
task_0001,family_00,template_00,0.25,8,B-RAG-EMBED,1,0,0,1350,5,2970,6,1,1,0,0.5,2
task_0001,family_00,template_00,0.25,8,B-STAGEHAND-CACHE,1,0,0,4066,17,10052,0,0,1,0,0.5,2
task_0001,family_00,template_00,0.25,8,B-TERX-REPLAY,1,0,0,4068,17,10056,0,0,1,0,0.5,2
task_0001,family_00,template_00,0.25,8,NC1-SHUFFLED,0,1,0,4271,11,9742,0,0,0,0,0.5,2
task_0001,family_00,template_00,0.25,8,NC2-RANDOM,1,0,0,4074,17,10068,0,0,1,0,0.45,2
task_0001,family_00,template_00,0.25,8,B-LENGTH-PROPORTIONAL,1,0,0,4043,17,10006,0,0,1,0,0.5,2
task_0002,family_00,template_00,1.0,8,P-SPIDER-PARAM,1,0,1,3404,13,7078,0,0,0,0,0.78464,3
