task_id,family_id,template_id,novelty_fraction,realized_novelty,length,system,success,false_accept,unknown,precision,tokens,tokens_f10,tokens_f100,per_hit,per_hit_f10,per_hit_f100,browser_calls,latency_ms,retrieval_ms,verification_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin,wrong_bound
task_0000,family_00,template_00,0.0,0.0,8,P-SPIDER-PARAM,1,0,0,1,750,750,660,50.0,50.0,50.0,9,1230,150,120,8,1,1,0,0.9910310989213371,4,0
task_0000,family_00,template_00,0.0,0.0,8,B-COLD,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0000,family_00,template_00,0.0,0.0,8,B-INSTRUCTION,1,0,0,1,4070,4070,4052,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0000,family_00,template_00,0.0,0.0,8,B-RAG-EMBED,1,0,0,1,650,650,650,50.0,50.0,50.0,9,1230,150,120,8,1,1,0,0.5,2,0
task_0000,family_00,template_00,0.0,0.0,8,B-STAGEHAND-CACHE,1,0,0,1,450,450,450,50.0,50.0,50.0,9,1080,0,120,8,1,1,0,0.5,2,0
task_0000,family_00,template_00,0.0,0.0,8,B-TERX-REPLAY,1,0,0,1,450,450,450,50.0,50.0,50.0,9,1080,0,120,8,1,1,0,0.5,2,0
task_0000,family_00,template_00,0.0,0.0,8,NC1-SHUFFLED,1,0,1,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.4,2,0
task_0000,family_00,template_00,0.0,0.0,8,NC2-RANDOM,1,0,0,1,5850,5850,5760,700.0,700.0,700.0,25,11510,150,120,2,1,1,1,0.8,4,0
task_0000,family_00,template_00,0.0,0.0,8,B-LENGTH-PROPORTIONAL,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0001,family_00,template_00,0.25,0.5,8,P-SPIDER-PARAM,1,0,1,0,4350,4350,4260,500.0,500.0,500.0,17,8270,150,120,0,0,1,0,0.4510618306111791,2,0
task_0001,family_00,template_00,0.25,0.5,8,B-COLD,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0001,family_00,template_00,0.25,0.5,8,B-INSTRUCTION,1,0,0,1,4070,4070,4052,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0001,family_00,template_00,0.25,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,2450,275.0,275.0,275.0,13,4750,150,120,4,1,1,0,0.5,2,0
task_0001,family_00,template_00,0.25,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0001,family_00,template_00,0.25,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.5,2,0
task_0001,family_00,template_00,0.25,0.5,8,NC1-SHUFFLED,1,0,1,1,4050,4050,4050,500.0,500.0,500.0,17,8120,0,120,0,0,1,0,0.4,2,0
task_0001,family_00,template_00,0.25,0.5,8,NC2-RANDOM,1,0,0,1,4850,4850,4760,575.0,575.0,575.0,21,9510,150,120,2,1,1,1,0.8,4,0
