task_id,family_id,template_id,novelty_fraction,realized_novelty,length,system,success,false_accept,unknown,precision,tokens,tokens_f10,per_hit,browser_calls,latency_ms,retrieval_ms,verification_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin,wrong_bound,probeHit,auditorBlocked,curatedFlag
task_0000,family_00,template_00,0.0,0.0,8,P-SPIDER-MEA,1,0,0,1,470,470,20.0,3,380,0,120,1,1,1,0,0.85,4,0,True,False,1
task_0000,family_00,template_00,0.0,0.0,8,B-COLD,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
task_0000,family_00,template_00,0.0,0.0,8,B-RAG-EMBED,1,0,0,1,650,650,50.0,10,1230,150,120,8,1,1,0,0.5,2,0,False,False,0
task_0000,family_00,template_00,0.0,0.0,8,B-STAGEHAND-CACHE,1,0,0,1,450,450,25.0,9,1080,150,120,8,1,1,0,0.5,2,0,False,False,0
task_0000,family_00,template_00,0.0,0.0,8,B-TERX-REPLAY,1,0,0,1,450,450,25.0,9,1080,150,120,8,1,1,0,0.5,2,0,False,False,0
task_0000,family_00,template_00,0.0,0.0,8,NC1-SHUFFLED,1,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.4,2,0,False,False,0
task_0000,family_00,template_00,0.0,0.0,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,1,0.8,4,0,False,False,0
task_0000,family_00,template_00,0.0,0.0,8,NC3-LENGTH,1,0,0,1,4050,4050,500,17,8120,0,120,0,0,1,0,0.5,2,0,False,False,0
task_0000,family_00,template_00,0.0,0.0,8,NC4-ABLATION,1,0,0,1,4450,4450,550.0,17,1080,0,120,8,1,1,0,0.8,4,0,False,False,0
task_0001,family_00,template_00,0.25,0.5,8,P-SPIDER-MEA,1,0,0,1,470,470,20.0,3,380,0,120,1,1,1,0,0.88,4,0,True,False,1
task_0001,family_00,template_00,0.25,0.5,8,B-COLD,1,0,0,1,4050,4050,475.0,17,8120,150,120,0,0,1,0,0.5,2,0,False,False,0
