task_id,family_id,template_id,novelty_fraction,realized_novelty,length,system,success,false_accept,unknown,precision,tokens,tokens_f10,per_hit,browser_calls,latency_ms,retrieval_ms,verification_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin,wrong_bound,probeHit,etagMatched,ttlValid,auditorBlocked,curatedFlag,frontierHit,frontierCrossFamilyAdoption,retrieval_hit,retrieval_use_hit,frontier_use_hit,provenanceHash,qcr_jaccard,frontier_jaccard
task_0000,family_00,template_00,0.0,0.0,8,P-SPIDER-MEA,1,0,0,1,910,910,68.75,12,1350,150,120,8,1,1,0,0.99,4,0,0,0,0,0,1,1,0,1,1,1,21582d946d19f31a,0.6666666666666666,1.0
task_0000,family_00,template_00,0.0,0.0,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.6666666666666666,0.0
task_0000,family_00,template_00,0.0,0.0,8,B-RAG-EMBED,1,0,0,1,650,650,56.25,10,1230,150,120,8,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666666,0.0
task_0000,family_00,template_00,0.0,0.0,8,B-STAGEHAND-CACHE,1,0,0,1,450,450,56.25,9,1080,0,120,8,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666666,0.0
task_0000,family_00,template_00,0.0,0.0,8,B-TERX-REPLAY,1,0,0,1,450,450,56.25,9,1080,0,120,8,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.6666666666666666,0.0
task_0000,family_00,template_00,0.0,0.0,8,NC1-SHUFFLED,0,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.0389,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0000,family_00,template_00,0.0,0.0,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.9726,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0000,family_00,template_00,0.0,0.0,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0000,family_00,template_00,0.0,0.0,8,NC4-ABLATION,1,0,0,1,4450,4450,550.0,17,1080,0,120,8,1,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0001,family_00,template_00,0.25,0.5,8,P-SPIDER-MEA,1,0,0,1,870,870,63.75,12,1260,150,30,8,1,1,0,0.99,4,0,1,1,1,0,1,1,0,1,1,1,f5c06291b602be94,0.6222222222222222,1.0
task_0001,family_00,template_00,0.25,0.5,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.6222222222222222,0.0
task_0001,family_00,template_00,0.25,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,281.25,14,4750,150,120,4,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.6222222222222222,0.0
task_0001,family_00,template_00,0.25,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.6222222222222222,0.0
task_0001,family_00,template_00,0.25,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.6222222222222222,0.0
task_0001,family_00,template_00,0.25,0.5,8,NC1-SHUFFLED,0,0,1,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.01,0,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0
task_0001,family_00,template_00,0.25,0.5,8,NC2-RANDOM,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0001,family_00,template_00,0.25,0.5,8,NC3-LENGTH,1,0,0,1,4050,4050,500.0,17,8120,0,120,0,0,1,0,0.55,2,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0001,family_00,template_00,0.25,0.5,8,NC4-ABLATION,0,1,0,0,4450,4450,550.0,17,1080,0,120,8,1,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,0,,0.0,0.0
task_0002,family_00,template_00,0.5,0.5,8,P-SPIDER-MEA,1,0,0,1,870,870,63.75,12,1260,150,30,8,1,1,0,0.99,4,0,1,1,1,0,1,1,0,1,1,1,ebfe3cb7e75b8be7,0.6,1.0
task_0002,family_00,template_00,0.5,0.5,8,B-COLD,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,0,0,0,,0.6,0.0
task_0002,family_00,template_00,0.5,0.5,8,B-RAG-EMBED,1,0,0,1,2450,2450,281.25,14,4750,150,120,4,1,1,0,0.99,4,0,0,0,0,0,0,0,0,1,1,0,,0.6,0.0
task_0002,family_00,template_00,0.5,0.5,8,B-STAGEHAND-CACHE,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.6,0.0
task_0002,family_00,template_00,0.5,0.5,8,B-TERX-REPLAY,1,0,0,1,4050,4050,506.25,17,8120,0,120,0,0,1,0,0.99,4,0,0,0,0,0,0,0,0,1,0,0,,0.6,0.0
