task_id,family_id,system,novelty_fraction,realized_novelty,length,tokens,tokens_f10,per_hit,browser_calls,latency_ms,success,false_accept,unknown,confidence,probeHit,ttlValid,etagMatched,auditorBlocked,frontierHit,frontierCrossFamilyAdoption,cacheHit,auditorFetchMiss,retrieval_hit,toolHit,qcr_jaccard,frontier_jaccard,provenanceHash,verify_passed,hit
task_0000,family_00,B-COLD,0.0,0.0,8,4050,4050,506.25,17,8120,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,1.0,0.0,,1,0
task_0000,family_00,B-RAG-EMBED,0.0,0.0,8,650,650,56.25,10,1230,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0000,family_00,B-STAGEHAND-CACHE,0.0,0.0,8,450,450,56.25,9,1080,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0000,family_00,B-TERX-REPLAY,0.0,0.0,8,450,450,56.25,9,1080,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0000,family_00,P-SPIDER-MEA-BATCHED,0.0,0.0,8,780,780,58.75,12,1195,1,0,0,0.99,1,1,1,0,1,0,1,0,1,0,1.0,1.0,72f4889666a0e90c,1,1
task_0000,family_00,P-WEBMCP-TOOL,0.0,0.0,8,525,525,52.5,11,1015,1,0,0,0.9563,1,1,1,0,0,0,1,0,1,1,0.0,0.0,72f4889666a0e90c,1,1
task_0000,family_00,NC1-SHUFFLED,0.0,0.0,8,820,820,63.75,12,1285,1,0,0,0.99,0,0,0,0,1,0,1,0,0,0,0.16666666666666666,0.3333333333333333,f28ad1058abe60d7,1,1
task_0000,family_00,NC2-RANDOM,0.0,0.0,8,860,860,68.75,11,1310,1,0,0,0.9607,0,1,0,0,0,0,0,1,0,0,0.0,0.0,bda20f0c812e1a18,1,1
task_0000,family_00,NC3-LENGTH,0.0,0.0,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0000,family_00,NC4-ABLATION,0.0,0.0,8,780,780,58.75,12,1195,1,0,0,0.99,1,1,1,0,1,0,1,0,1,0,1.0,1.0,72f4889666a0e90c,1,1
task_0001,family_00,B-COLD,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9787,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,,1,0
task_0001,family_00,B-RAG-EMBED,0.25,0.5,8,2450,2450,281.25,14,4750,1,0,0,0.9787,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,1
task_0001,family_00,B-STAGEHAND-CACHE,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9787,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0001,family_00,B-TERX-REPLAY,0.25,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9787,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0001,family_00,P-SPIDER-MEA-BATCHED,0.25,0.5,8,780,780,58.75,12,1195,1,0,1,0.0277,1,1,1,1,1,0,1,0,1,0,0.6666666666666666,1.0,c6cb024828a9609b,0,0
task_0001,family_00,P-WEBMCP-TOOL,0.25,0.5,8,525,525,52.5,11,1015,1,0,0,0.99,1,1,1,0,0,0,1,0,1,1,0.0,0.0,c6cb024828a9609b,1,1
task_0001,family_00,NC1-SHUFFLED,0.25,0.5,8,1760,1760,181.25,13,3070,1,0,1,0.8679512107349233,0,1,0,1,0,0,0,1,0,0,0.0,0.0,91fa805edbb045e1,0,0
task_0001,family_00,NC2-RANDOM,0.25,0.5,8,2220,2220,238.75,15,3980,0,1,0,0.801793839489525,1,1,1,0,0,0,0,1,0,0,0.0,0.0,0e5e47d7ab69af8d,0,1
task_0001,family_00,NC3-LENGTH,0.25,0.5,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0001,family_00,NC4-ABLATION,0.25,0.5,8,780,780,58.75,12,1195,1,0,0,0.99,1,1,1,0,1,0,1,0,1,0,0.6666666666666666,1.0,c6cb024828a9609b,1,1
task_0002,family_00,B-COLD,0.5,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9745,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,,1,0
task_0002,family_00,B-RAG-EMBED,0.5,0.5,8,2450,2450,281.25,14,4750,1,0,0,0.9745,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,1
task_0002,family_00,B-STAGEHAND-CACHE,0.5,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9745,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0002,family_00,B-TERX-REPLAY,0.5,0.5,8,4050,4050,506.25,17,8120,1,0,0,0.9745,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.0,,1,0
task_0002,family_00,P-SPIDER-MEA-BATCHED,0.5,0.5,8,780,780,58.75,12,1195,1,0,1,0.01,1,1,1,1,1,0,1,0,1,0,0.6666666666666666,1.0,fbb7e4c43d507d69,0,0
task_0002,family_00,P-WEBMCP-TOOL,0.5,0.5,8,525,525,52.5,11,1015,1,0,0,0.99,1,1,1,0,0,0,1,0,1,1,0.0,0.0,fbb7e4c43d507d69,1,1
task_0002,family_00,NC1-SHUFFLED,0.5,0.5,8,820,820,63.75,12,1285,1,0,0,0.99,0,1,0,0,1,0,1,0,1,0,0.5,1.0,2b9a9e9d8581d5a9,1,1
task_0002,family_00,NC2-RANDOM,0.5,0.5,8,1720,1720,176.25,13,2980,1,0,0,0.9659,1,1,1,0,0,0,0,1,0,0,0.0,0.0,80ba499e158800ef,1,1
task_0002,family_00,NC3-LENGTH,0.5,0.5,8,4050,4050,500.0,17,8120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0002,family_00,NC4-ABLATION,0.5,0.5,8,870,870,70.0,12,1260,1,0,0,0.9569,1,1,1,0,1,0,0,1,1,0,0.6666666666666666,1.0,fbb7e4c43d507d69,1,1
task_0003,family_00,B-COLD,0.75,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9688,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,B-RAG-EMBED,0.75,1.0,8,4250,4250,506.25,18,8270,1,0,0,0.9688,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,B-STAGEHAND-CACHE,0.75,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9688,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,B-TERX-REPLAY,0.75,1.0,8,4050,4050,506.25,17,8120,1,0,0,0.9688,0,0,0,0,0,0,0,0,1,0,0.3333333333333333,0.0,,1,0
task_0003,family_00,P-SPIDER-MEA-BATCHED,0.75,1.0,8,780,780,58.75,12,1195,1,0,0,0.99,1,1,1,0,1,0,1,0,1,0,0.3333333333333333,0.3333333333333333,569ec198b075e933,1,1
