task_id,family_id,L,n,n_novel,all_familiar,cold_tok,inst_tok,rag_tok,stagehand_tok,spider_tok,cold_calls,spider_calls,cold_ms,spider_ms,spider_resolve,rag_resolve
task_0000,family_00,8,0.0,0,1,4400,4480,650,400,540,16,8,8960,1335,1,1
task_0001,family_00,8,0.5,1,0,4400,4480,1100,4400,1580,16,10,8960,3280,1,0
task_0002,family_00,8,0.5,1,0,4400,4480,1100,4400,1580,16,10,8960,3280,1,0
task_0003,family_00,8,1.0,2,0,4400,4480,1550,4400,2530,16,12,8960,5160,1,0
task_0004,family_00,8,1.0,2,0,4400,4480,1550,4400,2530,16,12,8960,5160,1,0
task_0005,family_00,8,0.5,1,0,4400,4480,1100,4400,1580,16,10,8960,3280,1,0
task_0006,family_01,9,0.0,0,1,4950,5040,700,450,600,18,9,10080,1485,1,1
task_0007,family_01,9,0.5,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0008,family_01,9,1.0,2,0,4950,5040,1600,4950,2590,18,13,10080,5310,1,0
task_0009,family_01,9,1.0,2,0,4950,5040,1600,4950,2590,18,13,10080,5310,1,0
task_0010,family_01,9,0.5,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0011,family_01,9,0.5,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0012,family_02,10,0.0,0,1,5500,5600,750,500,660,20,10,11200,1635,1,1
task_0013,family_02,10,0.6667,2,0,5500,5600,1650,5500,2650,20,14,11200,5460,1,0
task_0014,family_02,10,1.0,3,0,5500,5600,2100,5500,3600,20,16,11200,7340,1,0
task_0015,family_02,10,0.3333,1,0,5500,5600,1200,5500,1700,20,12,11200,3580,1,0
task_0016,family_02,10,0.6667,2,0,5500,5600,1650,5500,2650,20,14,11200,5460,1,0
task_0017,family_02,10,0.6667,2,0,5500,5600,1650,5500,2650,20,14,11200,5460,1,0
task_0018,family_03,11,0.0,0,1,6050,6160,800,550,720,22,11,12320,1785,1,1
task_0019,family_03,11,1.0,1,0,6050,6160,1250,6050,1760,22,13,12320,3730,1,0
task_0020,family_03,11,0.0,0,1,6050,6160,800,550,720,22,11,12320,1785,1,1
task_0021,family_03,11,1.0,1,0,6050,6160,1250,6050,1760,22,13,12320,3730,1,0
task_0022,family_03,11,1.0,1,0,6050,6160,1250,6050,1760,22,13,12320,3730,1,0
task_0023,family_03,11,1.0,1,0,6050,6160,1250,6050,1760,22,13,12320,3730,1,0
task_0024,family_04,12,0.0,0,1,6600,6720,850,600,780,24,12,13440,1935,1,1
task_0025,family_04,12,0.5,1,0,6600,6720,1300,6600,1820,24,14,13440,3880,1,0
task_0026,family_04,12,0.5,1,0,6600,6720,1300,6600,1820,24,14,13440,3880,1,0
task_0027,family_04,12,1.0,2,0,6600,6720,1750,6600,2770,24,16,13440,5760,1,0
task_0028,family_04,12,1.0,2,0,6600,6720,1750,6600,2770,24,16,13440,5760,1,0
task_0029,family_04,12,0.5,1,0,6600,6720,1300,6600,1820,24,14,13440,3880,1,0
task_0030,family_05,13,0.0,0,1,7150,7280,900,650,840,26,13,14560,2085,1,1
task_0031,family_05,13,0.5,1,0,7150,7280,1350,7150,1880,26,15,14560,4030,1,0
task_0032,family_05,13,1.0,2,0,7150,7280,1800,7150,2830,26,17,14560,5910,1,0
task_0033,family_05,13,1.0,2,0,7150,7280,1800,7150,2830,26,17,14560,5910,1,0
task_0034,family_05,13,0.5,1,0,7150,7280,1350,7150,1880,26,15,14560,4030,1,0
task_0035,family_05,13,0.5,1,0,7150,7280,1350,7150,1880,26,15,14560,4030,1,0
task_0036,family_06,14,0.0,0,1,7700,7840,950,700,900,28,14,15680,2235,1,1
task_0037,family_06,14,0.6667,2,0,7700,7840,1850,7700,2890,28,18,15680,6060,1,0
task_0038,family_06,14,1.0,3,0,7700,7840,2300,7700,3840,28,20,15680,7940,1,0
task_0039,family_06,14,0.3333,1,0,7700,7840,1400,7700,1940,28,16,15680,4180,1,0
task_0040,family_06,14,0.6667,2,0,7700,7840,1850,7700,2890,28,18,15680,6060,1,0
task_0041,family_06,14,0.6667,2,0,7700,7840,1850,7700,2890,28,18,15680,6060,1,0
task_0042,family_07,8,0.0,0,1,4400,4480,650,400,540,16,8,8960,1335,1,1
task_0043,family_07,8,1.0,1,0,4400,4480,1100,4400,1580,16,10,8960,3280,1,0
task_0044,family_07,8,0.0,0,1,4400,4480,650,400,540,16,8,8960,1335,1,1
task_0045,family_07,8,1.0,1,0,4400,4480,1100,4400,1580,16,10,8960,3280,1,0
task_0046,family_07,8,1.0,1,0,4400,4480,1100,4400,1580,16,10,8960,3280,1,0
task_0047,family_07,8,1.0,1,0,4400,4480,1100,4400,1580,16,10,8960,3280,1,0
task_0048,family_08,9,0.0,0,1,4950,5040,700,450,600,18,9,10080,1485,1,1
task_0049,family_08,9,0.5,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0050,family_08,9,0.5,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0051,family_08,9,1.0,2,0,4950,5040,1600,4950,2590,18,13,10080,5310,1,0
task_0052,family_08,9,1.0,2,0,4950,5040,1600,4950,2590,18,13,10080,5310,1,0
task_0053,family_08,9,0.5,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0054,family_09,10,0.0,0,1,5500,5600,750,500,660,20,10,11200,1635,1,1
task_0055,family_09,10,0.5,1,0,5500,5600,1200,5500,1700,20,12,11200,3580,1,0
task_0056,family_09,10,1.0,2,0,5500,5600,1650,5500,2650,20,14,11200,5460,1,0
task_0057,family_09,10,1.0,2,0,5500,5600,1650,5500,2650,20,14,11200,5460,1,0
task_0058,family_09,10,0.5,1,0,5500,5600,1200,5500,1700,20,12,11200,3580,1,0
task_0059,family_09,10,0.5,1,0,5500,5600,1200,5500,1700,20,12,11200,3580,1,0
task_0060,family_10,11,0.0,0,1,6050,6160,800,550,720,22,11,12320,1785,1,1
task_0061,family_10,11,0.6667,2,0,6050,6160,1700,6050,2710,22,15,12320,5610,1,0
task_0062,family_10,11,1.0,3,0,6050,6160,2150,6050,3660,22,17,12320,7490,1,0
task_0063,family_10,11,0.3333,1,0,6050,6160,1250,6050,1760,22,13,12320,3730,1,0
task_0064,family_10,11,0.6667,2,0,6050,6160,1700,6050,2710,22,15,12320,5610,1,0
task_0065,family_10,11,0.6667,2,0,6050,6160,1700,6050,2710,22,15,12320,5610,1,0
task_0066,family_11,12,0.0,0,1,6600,6720,850,600,780,24,12,13440,1935,1,1
task_0067,family_11,12,1.0,1,0,6600,6720,1300,6600,1820,24,14,13440,3880,1,0
task_0068,family_11,12,0.0,0,1,6600,6720,850,600,780,24,12,13440,1935,1,1
task_0069,family_11,12,1.0,1,0,6600,6720,1300,6600,1820,24,14,13440,3880,1,0
task_0070,family_11,12,1.0,1,0,6600,6720,1300,6600,1820,24,14,13440,3880,1,0
task_0071,family_11,12,1.0,1,0,6600,6720,1300,6600,1820,24,14,13440,3880,1,0
task_0072,family_12,13,0.0,0,1,7150,7280,900,650,840,26,13,14560,2085,1,1
task_0073,family_12,13,0.5,1,0,7150,7280,1350,7150,1880,26,15,14560,4030,1,0
task_0074,family_12,13,0.5,1,0,7150,7280,1350,7150,1880,26,15,14560,4030,1,0
task_0075,family_12,13,1.0,2,0,7150,7280,1800,7150,2830,26,17,14560,5910,1,0
task_0076,family_12,13,1.0,2,0,7150,7280,1800,7150,2830,26,17,14560,5910,1,0
task_0077,family_13,14,0.0,0,1,7700,7840,950,700,900,28,14,15680,2235,1,1
task_0078,family_13,14,0.5,1,0,7700,7840,1400,7700,1940,28,16,15680,4180,1,0
task_0079,family_13,14,1.0,2,0,7700,7840,1850,7700,2890,28,18,15680,6060,1,0
task_0080,family_13,14,1.0,2,0,7700,7840,1850,7700,2890,28,18,15680,6060,1,0
task_0081,family_13,14,0.5,1,0,7700,7840,1400,7700,1940,28,16,15680,4180,1,0
task_0082,family_14,8,0.0,0,1,4400,4480,650,400,540,16,8,8960,1335,1,1
task_0083,family_14,8,0.6667,2,0,4400,4480,1550,4400,2530,16,12,8960,5160,1,0
task_0084,family_14,8,1.0,3,0,4400,4480,2000,4400,3480,16,14,8960,7040,1,0
task_0085,family_14,8,0.3333,1,0,4400,4480,1100,4400,1580,16,10,8960,3280,1,0
task_0086,family_14,8,0.6667,2,0,4400,4480,1550,4400,2530,16,12,8960,5160,1,0
task_0087,family_15,9,0.0,0,1,4950,5040,700,450,600,18,9,10080,1485,1,1
task_0088,family_15,9,1.0,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0089,family_15,9,0.0,0,1,4950,5040,700,450,600,18,9,10080,1485,1,1
task_0090,family_15,9,1.0,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0091,family_15,9,1.0,1,0,4950,5040,1150,4950,1640,18,11,10080,3430,1,0
task_0092,family_16,10,0.0,0,1,5500,5600,750,500,660,20,10,11200,1635,1,1
task_0093,family_16,10,0.5,1,0,5500,5600,1200,5500,1700,20,12,11200,3580,1,0
task_0094,family_16,10,0.5,1,0,5500,5600,1200,5500,1700,20,12,11200,3580,1,0
task_0095,family_16,10,1.0,2,0,5500,5600,1650,5500,2650,20,14,11200,5460,1,0
task_0096,family_16,10,1.0,2,0,5500,5600,1650,5500,2650,20,14,11200,5460,1,0
task_0097,family_17,11,0.0,0,1,6050,6160,800,550,720,22,11,12320,1785,1,1
task_0098,family_17,11,0.5,1,0,6050,6160,1250,6050,1760,22,13,12320,3730,1,0
